workspace_id,request_timestamp,response_timestamp,log_id,conversation_id,input,entities,intent and confidence,output
788e608a-118d-4c68-811a-45391400b024,2019-04-30T04:52:19.363Z,2019-04-30T04:52:19.380Z,bc514e9d-1cb4-4f7b-9e57-e1683333d3f6,1d00e049-70f2-4c92-950d-e9267cea02b1,,[],,"Hi! I am K buddy. ,Could you please tell me your 5 digit Customer ID number ?"
788e608a-118d-4c68-811a-45391400b024,2019-04-30T05:19:34.370Z,2019-04-30T05:19:34.419Z,79121ddd-b3e3-456e-8d6e-b5ebd7753f3f,95ca9fb3-68ed-4134-a261-0990fe85f411,,[],,"Hi! I am K buddy. ,Could you please tell me your 5 digit Customer ID number ?"
788e608a-118d-4c68-811a-45391400b024,2019-04-30T05:22:24.344Z,2019-04-30T05:22:24.392Z,134c8d38-0260-401b-a502-0f3f9b550b25,1cc41775-8974-4c99-89c5-30f8cd7066a1,customer id is 12345,"[{""entity"":""eInceptionDate"",""location"":[15,20],""value"":""12345"",""confidence"":0.2460087239742279},{""entity"":""sys-number"",""location"":[15,20],""value"":""12345"",""confidence"":1,""metadata"":{""numeric_value"":12345}}]","{""intent"":""iMyAccNumberIs"",""confidence"":0.9071424007415771}",<!--comment--> {{{account_number}}}
788e608a-118d-4c68-811a-45391400b024,2019-04-30T05:22:25.876Z,2019-04-30T05:22:26.084Z,bcd34a57-d6dc-4a40-aac2-af0f4f4a7a9e,1cc41775-8974-4c99-89c5-30f8cd7066a1,valid id,"[{""entity"":""eIDValidation"",""location"":[0,8],""value"":""IDisValid"",""confidence"":1}]","{""intent"":""iMyAccNumberIs"",""confidence"":0.554755163192749}",How can I help you today ?
788e608a-118d-4c68-811a-45391400b024,2019-04-30T05:30:38.178Z,2019-04-30T05:30:38.232Z,25f146f4-ba8d-457b-924a-c9d3c3081ce8,1cc41775-8974-4c99-89c5-30f8cd7066a1,i want statement from the beginning,"[{""entity"":""eInceptionDate"",""location"":[26,35],""value"":""beginning"",""confidence"":0.7743906378746033}]","{""intent"":""iSendStatement"",""confidence"":0.9717641830444337}",{{{user_provided_specific_dates}}}
788e608a-118d-4c68-811a-45391400b024,2019-05-14T05:47:37.730Z,2019-05-14T05:47:37.832Z,867aa934-5b4a-4bae-aa21-3c655f1cbe41,2aee3c3b-0313-4e81-a2bf-4d953178f2a0,i want to know my net asset value,"[{""entity"":""eNav"",""location"":[18,33],""value"":""Nav"",""confidence"":0.9975610971450806}]","{""intent"":""iKnowMyNavValue"",""confidence"":0.758511734008789}","{{{check_account}}} ,What else I can do for you ?"
788e608a-118d-4c68-811a-45391400b024,2019-05-14T05:47:27.840Z,2019-05-14T05:47:27.929Z,06cd964b-b19b-4bcb-935c-ae8e20c807e5,2aee3c3b-0313-4e81-a2bf-4d953178f2a0,my customer id is 12345,"[{""entity"":""eInceptionDate"",""location"":[18,23],""value"":""12345"",""confidence"":0.2460087239742279},{""entity"":""sys-number"",""location"":[18,23],""value"":""12345"",""confidence"":1,""metadata"":{""numeric_value"":12345}}]","{""intent"":""iMyAccNumberIs"",""confidence"":0.9157547950744629}",<!--comment--> {{{account_number}}}
788e608a-118d-4c68-811a-45391400b024,2019-05-14T05:44:18.617Z,2019-05-14T05:44:18.624Z,4b8c737f-159f-4bf1-b626-a8ca42216b2a,2aee3c3b-0313-4e81-a2bf-4d953178f2a0,,[],,"Hi! I am K buddy. ,Could you please tell me your 5 digit Customer ID number ?"
788e608a-118d-4c68-811a-45391400b024,2019-05-14T05:48:55.153Z,2019-05-14T05:48:55.225Z,17187eb7-0390-4d53-b30c-8a8882ee6057,2aee3c3b-0313-4e81-a2bf-4d953178f2a0,i would like to do partial withdrawal,"[{""entity"":""eWithdrawMoneyMethod"",""location"":[19,37],""value"":""partial withdraw"",""confidence"":0.7}]","{""intent"":""iRedemption"",""confidence"":0.755089521408081}","Please check & submit your  partial withdrawal request? <!--comment-->
    <br>
    <br>
    <div id=""_disabled"">
        <div class=""row"">
          <form class=""col s12""><div class=""row""><div>Min Amount is Rs. 1000 and Max Amount you can withdraw is Rs. {{{partial_withdrawal_amount}}}<br></div></div>
            <div class=""row"">
              <div class=""input-field col s12"">
                <i class=""material-icons prefix"">attach_money
                </i>
                <input id=""id_partial_withdraw_amount"" type=""number"" class=""validate"" max=""{{{partial_withdrawal_amount}}}"" min=""1000"" value=""1000"">
                <label for=""id_partial_withdraw_amount""></label>
              </div>
              <button id=""id_partial_withdraw_click"" class=""btn waves-effect waves-light grey darken-2 chip white-text"" type=""button"" onclick=""fullWithdrawal()""
                style=""margin: 0 55px 0 30px"">
                <i class=""fas fa-check prefix""></i>Submit</button>
                <button id=""id_cancel_click"" class=""btn waves-effect waves-light grey darken-2 chip white-text"" type=""button"" onclick=""GoBack()""
                style=""margin: 0"">
                <i class=""fas fa-check prefix""></i>Cancel</button>
            </div>
          </form>
        </div>
    </div>"
788e608a-118d-4c68-811a-45391400b024,2019-05-14T05:48:00.039Z,2019-05-14T05:48:00.129Z,cd4b779e-a3f0-42ac-9f8e-bc14ad90ce9f,2aee3c3b-0313-4e81-a2bf-4d953178f2a0,i want a statement from the beginning,"[{""entity"":""eInceptionDate"",""location"":[28,37],""value"":""beginning"",""confidence"":0.7743906378746033}]","{""intent"":""iSendStatement"",""confidence"":0.9697212696075439}",{{{user_provided_specific_dates}}}
